Id,GameURL,Critic,Score,ReviewDate
859,http://www.metacritic.com/game/xbox/4x4-evo-2,"Game Revolution",25,NULL
864,http://www.metacritic.com/game/wii/101-in-1-explosive-megamix,"Nintendo Gamer",0,2011-11-02
884,http://www.metacritic.com/game/playstation-3/1942-joint-strike,Boomtown,50,NULL
918,http://www.metacritic.com/game/game-boy-advance/advance-wars-2-black-hole-rising,GamePro,80,NULL
934,http://www.metacritic.com/game/dreamcast/army-men-sarges-heroes,"DC Swirl",50,NULL
935,http://www.metacritic.com/game/playstation/ace-combat-2,"Computer and Video Games",50,NULL
940,http://www.metacritic.com/game/pc/007-legends,"PC Gamer",16,2013-01-05
943,http://www.metacritic.com/game/ios/-and-then-it-rained,"Pocket Gamer UK",70,2014-05-09
946,http://www.metacritic.com/game/ds/1001-crystal-mazes-collection,"Official Nintendo Magazine UK",32,2011-02-01
961,http://www.metacritic.com/game/playstation-4/abyss-odyssey-extended-dream-edition,Twinfinite,40,2015-07-31
1030,http://www.metacritic.com/game/xbox-360/007-quantum-of-solace,"Official Xbox Magazine UK",40,NULL
1032,http://www.metacritic.com/game/wii/101-in-1-party-megamix,AceGamez,53,NULL
1046,http://www.metacritic.com/game/playstation/action-bass,"CNET Gamecenter",20,NULL
1051,http://www.metacritic.com/game/dreamcast/atari-anniversary-edition,GameSpot,40,NULL
1059,http://www.metacritic.com/game/game-boy-advance/aero-the-acro-bat,GameSpot,42,NULL
1100,http://www.metacritic.com/game/playstation-2/hackmutation-part-2,"Jolt Online Gaming UK",55,NULL
1114,http://www.metacritic.com/game/psp/300-march-to-glory,Thunderbolt,10,NULL
1126,http://www.metacritic.com/game/wii-u/a-world-of-keflings,"Gaming Age",42,2014-12-24
1127,http://www.metacritic.com/game/nintendo-64/army-men-sarges-heroes-2,"CNET Gamecenter",30,NULL
1146,http://www.metacritic.com/game/xbox/50-cent-bulletproof,"G4 TV",20,NULL
1169,http://www.metacritic.com/game/gamecube/alien-hominid,"Game Revolution",67,NULL
1170,http://www.metacritic.com/game/3ds/35-junior-games,"Nintendo Life",60,2013-01-31
1222,http://www.metacritic.com/game/ios/decluster---into-the-bullet-hell,"IGN Italia",78,2015-03-23
1225,http://www.metacritic.com/game/ds/1001-touch-games,Cubed3,60,2012-01-09
1229,http://www.metacritic.com/game/playstation-3/2010-fifa-world-cup-south-africa,"Cheat Code Central",58,NULL
1230,http://www.metacritic.com/game/playstation-4/aces-of-the-luftwaffe,"PlayStation LifeStyle",35,2015-03-05
1242,http://www.metacritic.com/game/wii/101-in-1-sports-party-megamix,DarkZero,10,2011-05-19
1252,http://www.metacritic.com/game/game-boy-advance/aggressive-inline,GameZone,65,NULL
1258,http://www.metacritic.com/game/pc/007-nightfire,"Computer Gaming World",20,NULL
1260,http://www.metacritic.com/game/psp/3d-twist-match,Eurogamer,20,2011-04-23
1263,http://www.metacritic.com/game/xbox-one/adventures-of-pip,"Brash Games",60,2015-10-02
1275,http://www.metacritic.com/game/playstation/alien-resurrection,GameSpot,47,NULL
1285,http://www.metacritic.com/game/dreamcast/bang!-gunship-elite,"DC Swirl",50,NULL
1291,http://www.metacritic.com/game/ios/decluster-zero-bullet-nocturne,148Apps,90,2015-08-31
1308,http://www.metacritic.com/game/playstation-2/hackoutbreak-part-3,"Cheat Code Central",50,NULL
1310,http://www.metacritic.com/game/ds/101-dolphin-pets,"Nintendo Life",70,2011-02-07
1320,http://www.metacritic.com/game/wii-u/abyss,"Official Nintendo Magazine UK",45,2014-08-08
1343,http://www.metacritic.com/game/gamecube/all-star-baseball-2002,"Game Revolution",42,NULL
1346,http://www.metacritic.com/game/3ds/3d-after-burner-ii,"Hardcore Gamer",70,2015-01-23
1352,http://www.metacritic.com/game/game-boy-advance/airforce-delta-storm,"GamerWeb Nintendo",50,NULL
1388,http://www.metacritic.com/game/xbox-360/1942-joint-strike,"Edge Magazine",40,NULL
1421,http://www.metacritic.com/game/playstation-3/2014-fifa-world-cup-brazil,Level7.nu,50,2014-05-12
1423,http://www.metacritic.com/game/ios/noon,148Apps,70,2014-11-11
1441,http://www.metacritic.com/game/pc/007-quantum-of-solace,"Gamer 2.0",56,NULL
1443,http://www.metacritic.com/game/ds/101-minigolf-world,"Nintendo Life",10,NULL
1458,http://www.metacritic.com/game/playstation/alone-in-the-dark-the-new-nightmare,"Electronic Gaming Monthly",57,NULL
1477,http://www.metacritic.com/game/nintendo-64/banjo-kazooie,"Adrenaline Vault",80,NULL
1489,http://www.metacritic.com/game/dreamcast/bangai-o,"DC Swirl",80,NULL
1492,http://www.metacritic.com/game/3ds/3d-altered-beast,"Official Nintendo Magazine UK",23,2014-02-12
1512,http://www.metacritic.com/game/playstation-2/hackquarantine-part-4,"PSX Extreme",57,NULL
1528,http://www.metacritic.com/game/gamecube/all-star-baseball-2003,"Nintendo Power",64,NULL
1535,http://www.metacritic.com/game/game-boy-advance/alex-rider-stormbreaker,"Worth Playing",36,NULL
1539,http://www.metacritic.com/game/wii-u/adventure-time-explore-the-dungeon-because-i-dont-know!,GameSpot,20,2013-12-06
1541,http://www.metacritic.com/game/ios/pxl,"Grab It Magazine",60,2015-07-12
1565,http://www.metacritic.com/game/ds/101-pinball-world,"Nintendo Life",10,2012-01-16
1580,http://www.metacritic.com/game/playstation-4/adventures-of-pip,"PlayStation LifeStyle",55,2015-08-20
1599,http://www.metacritic.com/game/xbox/advent-rising,games(TM),20,NULL
1608,http://www.metacritic.com/game/pc/0rbitalis,Twinfinite,60,2015-05-29
1609,http://www.metacritic.com/game/psp/5-in-1-solitaire,"Playstation Official Magazine UK",50,2013-01-29
1611,http://www.metacritic.com/game/wii/2-fast-4-gnomz,Nintendojo,50,2012-10-31
1672,http://www.metacritic.com/game/xbox-360/2010-fifa-world-cup-south-africa,"Cheat Code Central",58,NULL
1683,http://www.metacritic.com/game/dreamcast/bomberman-online,XenGamers,67,NULL
1687,http://www.metacritic.com/game/game-boy-advance/alienators-evolution-continues,"GamerWeb Nintendo",35,NULL
1702,http://www.metacritic.com/game/nintendo-64/banjo-tooie,"Game Fan",75,NULL
1705,http://www.metacritic.com/game/ios/-escape,Modojo,70,2012-01-23
1709,http://www.metacritic.com/game/3ds/3d-classics-excitebike,"Games Master UK",40,2011-07-25
1718,http://www.metacritic.com/game/playstation-2/18-wheeler-american-pro-trucker,"PSX Nation",40,NULL
1728,http://www.metacritic.com/game/playstation-4/aeternoblade,"Digitally Downloaded",40,2015-08-20
1734,http://www.metacritic.com/game/gamecube/all-star-baseball-2004,"Yahoo! Games",60,NULL
1758,http://www.metacritic.com/game/xbox-one/alien-isolation,IGN,59,2014-10-03
1778,http://www.metacritic.com/game/playstation-3/3-on-3-nhl-arcade,GameSpot,40,NULL
1787,http://www.metacritic.com/game/playstation/alundra,"Computer and Video Games",70,NULL
1814,http://www.metacritic.com/game/xbox/aeon-flux,Eurogamer,40,NULL
1839,http://www.metacritic.com/game/psp/50-cent-bulletproof-g-unit-edition,eToychest,30,NULL
1852,http://www.metacritic.com/game/ds/101-in-1-explosive-megamix,"Gaming Nexus",0,NULL
1857,http://www.metacritic.com/game/game-boy-advance/all-grown-up!-express-yourself,AceGamez,30,NULL
1864,http://www.metacritic.com/game/wii-u/adventures-of-pip,"Gaming Age",67,2015-06-12
1866,http://www.metacritic.com/game/ios/007-top-agent,Modojo,20,NULL
1871,http://www.metacritic.com/game/nintendo-64/batman-beyond-return-of-the-joker,"Game Revolution",0,NULL
1875,http://www.metacritic.com/game/playstation/animorphs-shattered-reality,"Daily Radar",0,NULL
1917,http://www.metacritic.com/game/playstation-2/187-ride-or-die,"Gaming Age",25,NULL
1930,http://www.metacritic.com/game/gamecube/amazing-island,NTSC-uk,20,NULL
1932,http://www.metacritic.com/game/ds/101-in-1-sports-megamix,"Nintendo Gamer",31,2010-12-24
1942,http://www.metacritic.com/game/psp/7-wonders-of-the-ancient-world,TotalPlayStation,30,NULL
1948,http://www.metacritic.com/game/game-boy-advance/all-star-baseball-2003,Nintendophiles,70,NULL
1949,http://www.metacritic.com/game/ios/1+23,Modojo,90,2015-01-22
1985,http://www.metacritic.com/game/wii-u/affordable-space-adventures,GameOver.gr,50,2015-06-02
1988,http://www.metacritic.com/game/ds/16-shot!-shooting-watch,"Official Nintendo Magazine UK",14,NULL
1992,http://www.metacritic.com/game/gamecube/american-chopper-2-full-throttle,"Cheat Code Central",48,NULL
2012,http://www.metacritic.com/game/nintendo-64/beetle-adventure-racing,"Games Domain",80,NULL
2025,http://www.metacritic.com/game/playstation/ape-escape,GameCritics,75,NULL
2040,http://www.metacritic.com/game/ios/1-bit-hero,TouchArcade,80,2014-11-13
2046,http://www.metacritic.com/game/game-boy-advance/all-star-baseball-2004-featuring-derek-jeter,"Cheat Code Central",60,NULL
2053,http://www.metacritic.com/game/playstation-2/2002-fifa-world-cup,"Sports Gaming Network",40,NULL
2057,http://www.metacritic.com/game/wii-u/alphadia-genesis,Cubed3,50,2015-05-26
2060,http://www.metacritic.com/game/nintendo-64/big-mountain-2000,GameSpot,54,NULL
2063,http://www.metacritic.com/game/ds/18th-gate,NintendoWorldReport,20,2012-11-21
2077,http://www.metacritic.com/game/playstation-vita/a-men,"Gaming Age",75,2013-09-01
2085,http://www.metacritic.com/game/game-boy-advance/altered-beast-guardian-of-the-realms,GameCritics,30,NULL
2091,http://www.metacritic.com/game/ios/1-bit-ninja,"Slide to Play",50,2011-07-05
2116,http://www.metacritic.com/game/pc/10-second-ninja,"Hardcore Gamer",40,2014-04-04
2119,http://www.metacritic.com/game/psp/a-space-shooter-for-2-bucks!,"Play UK",55,2011-02-20
2133,http://www.metacritic.com/game/playstation/arc-the-lad-collection,"Electronic Gaming Monthly",55,NULL
2175,http://www.metacritic.com/game/gamecube/animal-crossing,"Play Magazine",70,NULL
2228,http://www.metacritic.com/game/playstation-2/24-the-game,"Gaming Age",25,NULL
2240,http://www.metacritic.com/game/nintendo-64/blast-corps,"All Game Guide",80,NULL
2243,http://www.metacritic.com/game/psp/ace-armstrong-vs-the-alien-scumbags!,NZGamer,47,NULL
